Experiment;Item_type;Stimulus;Condition;Cognate_status;Length;Lg10SUBTLEX_US;correct_response
LDT;exp;ennui;word;noncognate;5;1.3010299956639813;j
LDT;exp;adjuster;word;noncognate;8;1.3222192947339193;j
LDT;exp;fallacy;word;noncognate;7;1.3222192947339193;j
LDT;exp;finality;word;noncognate;8;1.3222192947339193;j
LDT;exp;guesser;word;noncognate;7;1.3222192947339193;j
LDT;exp;headlock;word;noncognate;8;1.3222192947339193;j
LDT;exp;sickbay;word;noncognate;7;1.3222192947339193;j
LDT;exp;cervix;word;noncognate;6;1.3424226808222062;j
LDT;exp;scullery;word;noncognate;8;1.3424226808222062;j
LDT;exp;coercion;word;noncognate;8;1.3617278360175928;j
LDT;exp;infamy;word;noncognate;6;1.3617278360175928;j
LDT;exp;viceroy;word;noncognate;7;1.3617278360175928;j
LDT;exp;knockoff;word;noncognate;8;1.380211241711606;j
LDT;exp;conceit;word;noncognate;7;1.3979400086720377;j
LDT;exp;druggist;word;noncognate;8;1.4313637641589874;j
LDT;exp;linoleum;word;noncognate;8;1.4471580313422192;j
LDT;exp;ejection;word;noncognate;8;1.4913616938342726;j
LDT;exp;castaway;word;noncognate;8;1.5185139398778875;j
LDT;exp;blockage;word;noncognate;8;1.5440680443502757;j
LDT;exp;creeper;word;noncognate;7;1.5797835966168101;j
LDT;exp;gavel;word;noncognate;5;1.6020599913279623;j
LDT;exp;damper;word;noncognate;6;1.6434526764861874;j
LDT;exp;stinger;word;noncognate;7;1.662757831681574;j
LDT;exp;plunger;word;noncognate;7;1.6901960800285136;j
LDT;exp;fuselage;word;noncognate;8;1.724275869600789;j
LDT;exp;baldy;word;noncognate;5;1.7558748556724915;j
LDT;exp;inhaler;word;noncognate;7;1.7853298350107671;j
LDT;exp;downside;word;noncognate;8;1.8260748027008264;j
LDT;exp;geezer;word;noncognate;6;1.845098040014257;j
LDT;exp;ruckus;word;noncognate;6;1.8808135922807914;j
LDT;exp;takeover;word;noncognate;8;1.9084850188786497;j
LDT;exp;strife;word;noncognate;6;1.9344984512435677;j
LDT;exp;rodent;word;noncognate;6;1.968482948553935;j
LDT;exp;stakeout;word;noncognate;8;2.0043213737826426;j
LDT;exp;removal;word;noncognate;7;2.0253058652647704;j
LDT;exp;grunt;word;noncognate;5;2.0569048513364727;j
LDT;exp;outsider;word;noncognate;8;2.0863598306747484;j
LDT;exp;cubicle;word;noncognate;7;2.12057393120585;j
LDT;exp;wacko;word;noncognate;5;2.1522883443830563;j
LDT;exp;hustler;word;noncognate;7;2.1818435879447726;j
LDT;exp;debris;word;noncognate;6;2.2041199826559246;j
LDT;exp;jeopardy;word;noncognate;8;2.24551266781415;j
LDT;exp;warlock;word;noncognate;7;2.2695129442179165;j
LDT;exp;merger;word;noncognate;6;2.307496037913213;j
LDT;exp;diaper;word;noncognate;6;2.3404441148401185;j
LDT;exp;lookout;word;noncognate;7;2.357934847000454;j
LDT;exp;disposal;word;noncognate;8;2.399673721481038;j
LDT;exp;torch;word;noncognate;5;2.406540180433955;j
LDT;exp;baggage;word;noncognate;7;2.503790683057181;j
LDT;exp;bounty;word;noncognate;6;2.5646660642520893;j
LDT;exp;welfare;word;noncognate;7;2.6053050461411096;j
LDT;exp;tension;word;noncognate;7;2.640481436970422;j
LDT;exp;verdict;word;noncognate;7;2.747411807886423;j
LDT;exp;election;word;noncognate;8;2.7489628612561616;j
LDT;exp;warden;word;noncognate;6;2.7589118923979736;j
LDT;exp;blade;word;noncognate;5;2.8221680793680175;j
LDT;exp;stroke;word;noncognate;6;2.824776462475546;j
LDT;exp;moron;word;noncognate;5;2.8779469516291885;j
LDT;exp;alley;word;noncognate;5;2.920123326290724;j
LDT;exp;sucker;word;noncognate;6;2.921686475483602;j
LDT;exp;dagger;word;noncognate;6;2.401400540781544;j
LDT;exp;attorney;word;noncognate;8;3.3140779917792127;j
LDT;exp;battle;word;noncognate;6;3.3336487565147013;j
LDT;exp;pressure;word;noncognate;8;3.432969290874406;j
LDT;exp;gambler;word;noncognate;7;2.3710678622717363;j
LDT;exp;squadron;word;noncognate;8;2.3521825181113627;j
LDT;exp;lawyer;word;noncognate;6;3.6080979463252794;j
LDT;exp;court;word;noncognate;5;3.7107940999303275;j
LDT;exp;fault;word;noncognate;5;3.725176301419137;j
LDT;exp;hospital;word;noncognate;8;3.80174661921946;j
LDT;exp;vanity;word;noncognate;6;2.3242824552976926;j
LDT;exp;chump;word;noncognate;5;2.322219294733919;j
LDT;exp;tuition;word;noncognate;7;2.315970345456918;j
LDT;exp;gator;word;noncognate;5;2.2671717284030137;j
LDT;exp;ashtray;word;noncognate;7;2.2227164711475833;j
LDT;exp;remorse;word;noncognate;7;2.1903316981702914;j
LDT;exp;marrow;word;noncognate;6;2.1818435879447726;j
LDT;exp;slayer;word;noncognate;6;2.161368002234975;j
LDT;exp;weenie;word;noncognate;6;2.161368002234975;j
LDT;exp;junkyard;word;noncognate;8;2.1398790864012365;j
LDT;exp;shortage;word;noncognate;8;2.130333768495006;j
LDT;exp;obstacle;word;noncognate;8;2.123851640967086;j
LDT;exp;examiner;word;noncognate;8;2.1172712956557644;j
LDT;exp;bogey;word;noncognate;5;2.1072099696478683;j
LDT;exp;suture;word;noncognate;6;2.103803720955957;j
LDT;exp;restroom;word;noncognate;8;2.100370545117563;j
LDT;exp;gunner;word;noncognate;6;2.0827853703164503;j
LDT;exp;breaker;word;noncognate;7;2.0718820073061255;j
LDT;exp;holster;word;noncognate;7;2.0492180226701815;j
LDT;exp;bailiff;word;noncognate;7;2.0453229787866576;j
LDT;exp;striker;word;noncognate;7;2.037426497940624;j
LDT;exp;frenzy;word;noncognate;6;2.0170333392987803;j
LDT;exp;calamity;word;noncognate;8;2.012837224705172;j
LDT;exp;midterm;word;noncognate;7;2.0086001717619175;j
LDT;exp;oblivion;word;noncognate;8;2.0086001717619175;j
LDT;exp;walkout;word;noncognate;7;1.9731278535996986;j
LDT;exp;abyss;word;noncognate;5;1.9590413923210936;j
LDT;exp;redneck;word;noncognate;7;1.9590413923210936;j
LDT;exp;bouncer;word;noncognate;7;1.9138138523837167;j
LDT;exp;mirage;word;noncognate;6;1.9030899869919435;j
LDT;exp;stran;nonword;NA;5;NA;f
LDT;exp;drime;nonword;NA;5;NA;f
LDT;exp;blaff;nonword;NA;5;NA;f
LDT;exp;grolt;nonword;NA;5;NA;f
LDT;exp;crint;nonword;NA;5;NA;f
LDT;exp;stype;nonword;NA;5;NA;f
LDT;exp;gweme;nonword;NA;5;NA;f
LDT;exp;treer;nonword;NA;5;NA;f
LDT;exp;prirp;nonword;NA;5;NA;f
LDT;exp;thant;nonword;NA;5;NA;f
LDT;exp;gruib;nonword;NA;5;NA;f
LDT;exp;scaid;nonword;NA;5;NA;f
LDT;exp;knamb;nonword;NA;5;NA;f
LDT;exp;thelm;nonword;NA;5;NA;f
LDT;exp;zelch;nonword;NA;5;NA;f
LDT;exp;sproar;nonword;NA;6;NA;f
LDT;exp;snutch;nonword;NA;6;NA;f
LDT;exp;ghorch;nonword;NA;6;NA;f
LDT;exp;grurse;nonword;NA;6;NA;f
LDT;exp;phlait;nonword;NA;6;NA;f
LDT;exp;wreche;nonword;NA;6;NA;f
LDT;exp;thulse;nonword;NA;6;NA;f
LDT;exp;grurze;nonword;NA;6;NA;f
LDT;exp;knunch;nonword;NA;6;NA;f
LDT;exp;shradd;nonword;NA;6;NA;f
LDT;exp;thwipe;nonword;NA;6;NA;f
LDT;exp;snooch;nonword;NA;6;NA;f
LDT;exp;faunch;nonword;NA;6;NA;f
LDT;exp;grorch;nonword;NA;6;NA;f
LDT;exp;frunce;nonword;NA;6;NA;f
LDT;exp;smieze;nonword;NA;6;NA;f
LDT;exp;gwoche;nonword;NA;6;NA;f
LDT;exp;phrarl;nonword;NA;6;NA;f
LDT;exp;phlace;nonword;NA;6;NA;f
LDT;exp;chunch;nonword;NA;6;NA;f
LDT;exp;gworne;nonword;NA;6;NA;f
LDT;exp;thwoad;nonword;NA;6;NA;f
LDT;exp;slance;nonword;NA;6;NA;f
LDT;exp;shrurt;nonword;NA;6;NA;f
LDT;exp;gweace;nonword;NA;6;NA;f
LDT;exp;swoothe;nonword;NA;7;NA;f
LDT;exp;thwouse;nonword;NA;7;NA;f
LDT;exp;keighth;nonword;NA;7;NA;f
LDT;exp;twasque;nonword;NA;7;NA;f
LDT;exp;sprunch;nonword;NA;7;NA;f
LDT;exp;sprurse;nonword;NA;7;NA;f
LDT;exp;flusque;nonword;NA;7;NA;f
LDT;exp;splonce;nonword;NA;7;NA;f
LDT;exp;twusque;nonword;NA;7;NA;f
LDT;exp;thwoign;nonword;NA;7;NA;f
LDT;exp;dwusque;nonword;NA;7;NA;f
LDT;exp;streeve;nonword;NA;7;NA;f
LDT;exp;gweague;nonword;NA;7;NA;f
LDT;exp;scranch;nonword;NA;7;NA;f
LDT;exp;smarque;nonword;NA;7;NA;f
LDT;exp;struise;nonword;NA;7;NA;f
LDT;exp;scrourn;nonword;NA;7;NA;f
LDT;exp;draught;nonword;NA;7;NA;f
LDT;exp;shrooth;nonword;NA;7;NA;f
LDT;exp;gneathe;nonword;NA;7;NA;f
LDT;exp;thraith;nonword;NA;7;NA;f
LDT;exp;cleathe;nonword;NA;7;NA;f
LDT;exp;clength;nonword;NA;7;NA;f
LDT;exp;thruite;nonword;NA;7;NA;f
LDT;exp;shraugh;nonword;NA;7;NA;f
LDT;exp;thweeve;nonword;NA;7;NA;f
LDT;exp;shrowse;nonword;NA;7;NA;f
LDT;exp;grource;nonword;NA;7;NA;f
LDT;exp;shasque;nonword;NA;7;NA;f
LDT;exp;phrawse;nonword;NA;7;NA;f
LDT;exp;sprource;nonword;NA;8;NA;f
LDT;exp;phloathe;nonword;NA;8;NA;f
LDT;exp;scrorque;nonword;NA;8;NA;f
LDT;exp;phlaitch;nonword;NA;8;NA;f
LDT;exp;sprounge;nonword;NA;8;NA;f
LDT;exp;wheighth;nonword;NA;8;NA;f
LDT;exp;shrourth;nonword;NA;8;NA;f
LDT;exp;scrought;nonword;NA;8;NA;f
LDT;exp;straitch;nonword;NA;8;NA;f
LDT;exp;thrarmth;nonword;NA;8;NA;f
LDT;exp;throuche;nonword;NA;8;NA;f
LDT;exp;phlarmth;nonword;NA;8;NA;f
LDT;exp;phlusque;nonword;NA;8;NA;f
LDT;exp;phleathe;nonword;NA;8;NA;f
LDT;exp;throrque;nonword;NA;8;NA;f
LDT;exp;strought;nonword;NA;8;NA;f
LDT;exp;phrorgue;nonword;NA;8;NA;f
LDT;exp;cleighth;nonword;NA;8;NA;f
LDT;exp;thwoathe;nonword;NA;8;NA;f
LDT;exp;sprisque;nonword;NA;8;NA;f
LDT;exp;strounce;nonword;NA;8;NA;f
LDT;exp;throothe;nonword;NA;8;NA;f
LDT;exp;splorgue;nonword;NA;8;NA;f
LDT;exp;treighth;nonword;NA;8;NA;f
LDT;exp;phrarmth;nonword;NA;8;NA;f
LDT;exp;strautch;nonword;NA;8;NA;f
LDT;exp;scrourth;nonword;NA;8;NA;f
LDT;exp;thwauche;nonword;NA;8;NA;f
LDT;exp;sprouche;nonword;NA;8;NA;f
LDT;exp;thwaitch;nonword;NA;8;NA;f
